gesture,confidence,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62
closedFist,0.9961341023445129,0.0,0.0,-6.2160876e-07,0.18581718,-0.18082209,-0.03538112,0.4478371,-0.32174823,-0.057365704,0.6967783,-0.33082065,-0.08920185,0.81560457,-0.18365711,-0.111333296,0.7282341,-0.30210006,0.026634544,0.93193644,-0.36262152,-0.04676996,0.90173626,-0.33226314,-0.0934559,0.805142,-0.26696447,-0.11595524,0.74076796,-0.14579159,0.005522255,0.9729585,-0.16628997,-0.07318269,0.81831735,-0.18441567,-0.09722045,0.7204762,-0.161823,-0.09285185,0.68249834,-0.0010909891,-0.0305445,0.86164355,-0.012508521,-0.10309357,0.63842964,-0.059340995,-0.073655374,0.53406626,-0.045473896,-0.03187384,0.5780516,0.15492512,-0.07324428,0.7070037,0.13097945,-0.10590547,0.5583595,0.075559884,-0.07331125,0.4776573,0.068362586,-0.037935864
closedFist,0.9671123027801514,0.0,0.0,-1.5085116e-06,0.14781046,-0.18987058,-0.046326756,0.43122193,-0.33488727,-0.0658864,0.6861578,-0.40135044,-0.08814526,0.88771325,-0.46039665,-0.09843997,0.6541821,-0.28217083,-0.004439084,0.8577605,-0.2773157,-0.09992263,0.66762966,-0.24086532,-0.15704946,0.50633574,-0.22551352,-0.17969105,0.6448168,-0.1382409,-0.021816788,0.8730764,-0.12514392,-0.11771537,0.6162706,-0.12459459,-0.14535229,0.45929897,-0.13659413,-0.13981275,0.59564525,-0.0046218205,-0.05428448,0.7671932,0.020848673,-0.14276114,0.5268292,-0.009758629,-0.12263562,0.4056458,-0.040904786,-0.084879674,0.51217574,0.120591104,-0.09166695,0.6163907,0.1432726,-0.14153916,0.45424557,0.09700022,-0.11663433,0.3675594,0.051386867,-0.084015556
closedFist,0.9858471155166626,0.0,0.0,-1.404386e-06,0.12991071,-0.17213376,-0.04018337,0.40501755,-0.30386344,-0.057725802,0.6254636,-0.34176642,-0.08138669,0.79230094,-0.36342454,-0.09439653,0.66215414,-0.3460699,0.00017111728,0.91088146,-0.41266817,-0.08362124,0.72686076,-0.34349012,-0.13828582,0.5417392,-0.29501334,-0.16023815,0.69988066,-0.20759846,-0.015690405,0.95162684,-0.254839,-0.09593667,0.71215546,-0.21530311,-0.12215382,0.52051455,-0.20088689,-0.118273504,0.6756627,-0.060996957,-0.04543069,0.90944237,-0.0798726,-0.123939596,0.65152675,-0.08113868,-0.10843066,0.46061337,-0.095789135,-0.075194985,0.6062011,0.086556144,-0.07986586,0.76062644,0.078037806,-0.13174105,0.59469557,0.04084356,-0.11209032,0.4543132,0.0064249067,-0.082383275
closedFist,0.9576559066772461,0.0,0.0,-1.3137852e-06,-0.28819674,0.15940428,-0.15788455,-0.5225911,0.29106134,-0.28743502,-0.4867586,0.42132926,-0.39450064,-0.39387217,0.49739078,-0.48861793,-0.30172673,-0.1409277,-0.3145208,0.030285971,0.38405997,-0.43327248,-0.052830365,0.51576406,-0.47610155,-0.17198363,0.4129969,-0.50759846,0.1392383,-0.2301234,-0.29023567,0.4227308,0.3874533,-0.3880409,0.2530055,0.5262952,-0.38168192,0.11938572,0.40771264,-0.38951752,0.5029876,-0.23442352,-0.27249345,0.75330323,0.33132827,-0.3669382,0.5710639,0.44746438,-0.3481589,0.4294945,0.32787636,-0.3398065,0.79998064,-0.20138274,-0.2681307,0.97118366,0.23833247,-0.33421326,0.81354725,0.34408212,-0.3358967,0.6703891,0.25698847,-0.34031758
closedFist,0.9595471620559692,0.0,0.0,7.197387e-07,0.23521537,0.057470895,-0.08483808,0.5177305,0.036200993,-0.1062623,0.7879688,0.009264809,-0.111132,0.9996199,-0.027569968,-0.10645097,0.6383279,-0.19235283,-0.024366884,0.92123425,-0.12580855,-0.022869546,0.9392796,-0.047115974,-0.024054794,0.89857495,-0.0036705544,-0.02116869,0.6172391,-0.20994793,0.025403678,0.8759011,-0.15971904,0.0315263,0.87341756,-0.0805751,0.01819569,0.846298,-0.03571952,0.008918508,0.5930264,-0.18673028,0.06873199,0.83191067,-0.15264477,0.07386506,0.83689564,-0.08906924,0.064375915,0.81429505,-0.05799245,0.056700595,0.5785655,-0.15249112,0.105585,0.78993976,-0.14784986,0.11152319,0.8162643,-0.094639815,0.11302136,0.8015635,-0.05854619,0.11503615
closedFist,0.9903051257133484,0.0,0.0,4.5913708e-07,0.22515029,0.19783922,-0.11224836,0.5291826,0.23726958,-0.14038785,0.78715605,0.23370151,-0.14339325,0.9430907,0.18941005,-0.13007204,0.7364773,-0.12102107,-0.07363206,0.9952818,0.097026154,-0.10292288,0.8434307,0.20614617,-0.12240741,0.6982632,0.21685159,-0.12565018,0.71857876,-0.20332974,-0.009398139,0.95957464,0.026451081,-0.03280661,0.83640546,0.13670735,-0.050648082,0.70290136,0.14342304,-0.056506705,0.67427784,-0.21971168,0.047027476,0.8938615,-0.009744746,0.02532149,0.7893527,0.078967795,0.018369617,0.6589506,0.074860215,0.02134783,0.6333823,-0.21226683,0.095846646,0.8256619,-0.05957743,0.07896783,0.7456384,0.0031202459,0.07771427,0.63876545,0.0020303584,0.08433838
closedFist,0.9576923847198486,0.0,0.0,1.1417692e-07,0.21529225,0.16743009,-0.111523755,0.49704307,0.23052439,-0.15655331,0.7839438,0.26628625,-0.17634702,0.9692635,0.19557817,-0.17476735,0.66529006,-0.17677327,-0.1264817,0.99967194,0.02561109,-0.16973354,0.8327862,0.120740145,-0.18358925,0.68352354,0.08067804,-0.18341437,0.676602,-0.25292218,-0.07249772,0.97606045,-0.023899514,-0.111477144,0.8310539,0.07812819,-0.120821744,0.7122948,0.039035823,-0.123069555,0.6723138,-0.26567185,-0.02359326,0.9255001,-0.046465497,-0.051791176,0.8024071,0.031320248,-0.041803733,0.6929386,-0.0100765135,-0.03133721,0.66593575,-0.25259343,0.016958958,0.85907066,-0.06259742,-0.0013972562,0.7725149,-0.015902838,0.004034974,0.67855,-0.06385083,0.011284977
closedFist,0.9705153107643127,0.0,0.0,-7.030299e-07,-0.15161094,-0.13529354,-0.06515547,-0.412941,-0.21645327,-0.08664135,-0.6680178,-0.15388738,-0.10305537,-0.8454764,-0.05982007,-0.10402546,-0.68214756,-0.36458638,-0.0069413204,-0.94818306,-0.3177246,-0.077981934,-0.7666707,-0.25410104,-0.12357674,-0.6482217,-0.2527615,-0.14388429,-0.70067376,-0.21035245,-0.000962525,-0.94397455,-0.1644336,-0.06879891,-0.71558625,-0.13531747,-0.09479891,-0.6460361,-0.16451997,-0.09661766,-0.6718712,-0.06429779,-0.010467353,-0.82750905,-0.015395263,-0.07847837,-0.6217941,-0.021315238,-0.079969265,-0.5611114,-0.064034626,-0.06342888,-0.5923188,0.06363497,-0.026164573,-0.6847206,0.088557854,-0.061763845,-0.5451976,0.06601627,-0.0531334,-0.48289424,0.027241059,-0.036152244
closedFist,0.9903014302253723,0.0,0.0,-7.332017e-07,-0.16828892,-0.21244848,-0.04003797,-0.41351902,-0.35676843,-0.049279362,-0.69775486,-0.39920163,-0.0561044,-0.8943309,-0.44740596,-0.049045917,-0.7335434,-0.28398162,0.009073839,-0.9383445,-0.2438973,-0.048377853,-0.73110586,-0.22595505,-0.08249677,-0.5838405,-0.23478208,-0.09506711,-0.73044485,-0.1309552,0.012718557,-0.9298004,-0.09136103,-0.047130924,-0.65697974,-0.09970089,-0.06318157,-0.5394547,-0.12469075,-0.060833447,-0.68296415,0.022028698,0.005801987,-0.8449914,0.046982747,-0.053827602,-0.60414815,0.018344928,-0.032475077,-0.48926952,-0.017751075,-0.0023030264,-0.5929997,0.15833378,-0.004908403,-0.733272,0.17552674,-0.0354186,-0.5694476,0.13263595,-0.011789852,-0.48777974,0.101541065,0.016014168
closedFist,0.994183361530304,0.0,0.0,-6.632389e-07,-0.17153035,-0.22382851,-0.030088075,-0.42368132,-0.3702838,-0.04119631,-0.6547268,-0.31978905,-0.054244738,-0.7846434,-0.21927173,-0.060505204,-0.7290714,-0.32830742,5.0801365e-05,-0.957957,-0.28691185,-0.060990352,-0.7650113,-0.25323457,-0.09807165,-0.5763771,-0.25859904,-0.110704064,-0.7388209,-0.14686309,-0.0053244857,-0.97571886,-0.11581526,-0.0718492,-0.70582986,-0.1041339,-0.09228123,-0.5178746,-0.1286141,-0.08580637,-0.69937223,0.017372103,-0.01951173,-0.89177805,0.04753934,-0.08171751,-0.6287041,0.02112932,-0.07214664,-0.46189943,-0.018131513,-0.044895656,-0.6094028,0.17647102,-0.03624015,-0.7555961,0.18352327,-0.07325,-0.5866543,0.13848656,-0.058225404,-0.4744996,0.09171831,-0.03298871
